Case Id;Title;Date;Priority;Planned duration (minutes);Test Areas;Average Duration;Tags;Objective;Test Data;Preconditions & Assumptions
"";new;"<p>Go to Summarize page</p>";"<p>The sourcetype is listed</p>"
new;Delete sourcetype from splunk;2016-07-18;0;;"";0;ConfigureSourcetypes;"";"";""
"";Step Id;Action;Result
"";new;"<p>Create add-on and add sourcetype from Splunk.</p>
<p>Parse field extraction and add CIM mapping</p>";"Dummy result"
"";new;"<p>Delete the sourcetype and click on 'Cancel'</p>";"<p>The sourcetype is not deleted.</p>"
"";new;"<p>Delete the sourcetype and click on 'Delete'</p>";"<p>The sourcetype is deleted.</p>"
"";new;"<p>Check backend props.conf and transforms.conf</p>";"<p>The knowledge objects are removed.</p>"
"";new;"<p>Go to field extraction page</p>";"<p>The sourcetype is removed from drop-down list</p>"
"";new;"<p>Go to Map to CIM and click on 'Add Eventtype'</p>";"<p>The sourcetype is removed from drop-down list</p>"
"";new;"<p>Go to summarize page</p>";"<p>The sourcetype is rremoved from table.</p>"
"";new;"<p>Go to Sourcetype page. Add the sourcetype from Splunk again.</p>";"<p>The sourcetype is added.</p>"
new;Edit sourcetype from splunk;2016-07-18;0;;"";0;ConfigureSourcetypes;"";"";""
"";Step Id;Action;Result
"";new;"<p>Import sourcetype from Splunk</p>";"Dummy result"
"";new;"<p>Click on 'Edit'</p>";"<p>The sourcetype edit page shows. The index-time extraction is same as original sourcetype&nbsp;</p>"
"";new;"<p>Edit some setting and click on Save</p>";"Dummy result"
"";new;"<p>Edit the sourcetype again</p>";"<p>The change is saved.</p>"
"";new;"<p>Check backend conf files</p>";"<p>props.conf and transforms.conf are updated</p>"
new;Check sourcetype default settings;2016-07-18;0;;"";0;ConfigureSourcetypes;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Parse sourcetype;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Check enable/disable checkbox;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Sourcetype naming convention;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;"Create project and restart";"Dummy result"
"";new;"Create sourcetype test1:test2 and upload samples";"Dummy result"
"";new;"Parse the sourcetype and save";"Dummy result"
"";new;"Check props.conf";"Dummy result"
new;No events validation for sourcetype;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;"Create project and restart";"Dummy result"
"";new;"Add a new sourcetype";"Dummy result"
"";new;"In field extraction page, select the sourcetype and click on 'Parse'";"Dummy result"
new;Parse one sourcetype at a time;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;"Create project, two sourcetypes and upload samples";"Dummy result"
"";new;"In field extraction page, select one sourcetype and click on 'Parse'";"Dummy result"
new;Special events field extraction parsing;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;"Upload the attached samples to sourcetype";"Dummy result"
"";new;"In field extraction page, click on 'Parse'";"Dummy result"
new;Field extraction timestamps;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Sourcetype name validation;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;"Create sourcetype event with Chinese character";"Dummy result"
"";new;"Parse the sourcetype in field extraction builder.";"Dummy result"
new;Csv format events recognition;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;"Create project";"Dummy result"
"";new;"Add REST API with below";"Dummy result"
"";new;"Restart";"Dummy result"
"";new;"In field extraction page, parse the created sourcetype";"Dummy result"
new;Kv support on windows;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Parsing performance front end;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Hardcode field value support;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Field extraction coverage and accuracy;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;List sourcetype;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Load parse result;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Rename field;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;"Open field extraction result page.";"Dummy result"
"";new;"Unhighlight one field.";"Dummy result"
"";new;"Change the field name and click on confirm";"Dummy result"
new;Change regex;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Delete extracted field;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;"Dummy action";"Dummy result"
new;Disable group;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Field extraction summary;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Natural language format coverage;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Check field extraction page navigation;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Disable small group;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;Dummy action;Dummy result
new;Delete field extraction result;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;"<p>Create sourcetype and upload sample data</p>";"Dummy result"
"";new;"<p>In field extraction page, select the sourcetype and parse with unstructured format</p>";"<p>The delete button should be disabled</p>"
"";new;"<p>Modify the parsing results and click on save</p>";"Dummy result"
"";new;"<p>Delete the parse result of the sourcetype</p>";"<p>The parse result should be deleted.</p>"
"";new;"<p>Parse the sourcetype again.</p>";"<p>The previous change should disappear</p>"
new;Sourcetype parse overwrite;2016-07-18;0;;"";0;FieldExtraction;"";"";""
"";Step Id;Action;Result
"";new;"<p>Create sourcetype and upload sample data</p>";"Dummy result"
"";new;"<p>Parse it with unstructured data format and save the results</p>";"Dummy result"
"";new;"<p>Parse it with Table format and save the results</p>";"Dummy result"
"";new;"<p>Load the Parse Result</p>";"<p>The Table format result is loaded. The unstructured data format result is overwritten</p>"
